UID	RG	STD_T	STD_V	MEAN_T	MEAN_V	SSTD_T	SSTD_V	DIST_HOME	MEAN_log10_v	SSTD_log10_v	AVG_DIST
65.000000	2.158951	3.978008	0.823782	60223.800000	1594.560000	14616.134869	1977.658171	-1.000000	2.673184	0.840769	0.409227
67.000000	4.072820	6.740001	0.995345	42089.294479	389.447853	24338.775968	832.042587	2.483844	1.660843	0.998412	0.590931
68.000000	0.000000	1.899625	0.257046	18069.272727	5.090909	7172.435515	2.119177	0.000000	0.649963	0.269592	0.150515
70.000000	0.542992	3.195863	0.468893	49717.454545	76.636364	12066.657560	104.408115	10.281491	1.594898	0.491779	0.268300
70.000000	0.000000	2.527904	0.291760	20072.200000	99.000000	9592.721417	60.664835	0.000000	1.907242	0.307542	0.197329
71.000000	1.801581	7.421515	0.384963	38461.152174	28.641304	26863.851619	54.197965	0.528922	1.244205	0.387073	0.453739
73.000000	1.424519	7.372282	0.962349	46711.459459	1237.882883	26660.580038	4558.284555	0.592577	1.991708	0.966713	0.564327
76.000000	8.563099	5.816197	0.805749	44428.006329	385.550633	21004.884769	918.120592	6.872686	1.963328	0.808311	0.641494
77.000000	0.000000	2.357023	0.152004	13289.000000	297.000000	9486.832981	120.509336	0.000000	2.445635	0.169946	0.172363
78.000000	0.000000	1.890207	0.317503	10588.866667	9.400000	7043.580642	5.395766	0.000000	0.882722	0.328646	0.166669
80.000000	0.783256	7.979383	0.376175	42067.400000	25.872727	28990.538293	22.677330	0.187308	1.249779	0.379642	0.477200
81.000000	0.000000	2.381208	0.351855	47954.428571	64.857143	9259.195805	48.766206	-1.000000	1.685083	0.380046	0.209407
82.000000	0.322628	4.153664	0.488559	64510.854167	46.875000	15111.431057	46.957937	0.133308	1.451837	0.493729	0.302138
83.000000	5.524772	7.050377	0.234116	31389.938462	19.530769	25479.545744	59.626510	3.592172	1.109778	0.235022	0.466698
85.000000	2.494527	6.893482	0.861708	42830.087719	585.421053	25037.131092	1260.190078	2.223637	2.157862	0.869368	0.539879
87.000000	2.113648	6.558466	0.886299	45788.121212	121.984848	23791.403225	202.426624	0.638286	1.436310	0.893091	0.524872
89.000000	1.909619	5.118205	0.823900	54498.376344	392.537634	18525.405696	1523.244953	0.791464	1.677442	0.828366	0.437679
91.000000	1.523748	3.166899	0.586671	40432.800000	1389.200000	12017.538515	1698.481269	14.243065	2.779282	0.618406	0.317824
91.000000	0.000000	1.979614	0.357562	11235.666667	7.500000	7806.810070	3.674235	0.000000	0.779644	0.391690	0.188442
91.000000	0.000000	1.118530	0.400290	78324.800000	54.000000	4501.996302	55.735985	0.000000	1.550330	0.447537	0.182081
92.000000	4.641658	1.999237	0.085747	38216.500000	309.625000	7694.186470	66.510875	-1.000000	2.482287	0.091667	0.275161
93.000000	0.266357	2.984689	0.749872	11635.153846	590.000000	11183.627787	624.534894	0.073027	2.344131	0.780491	0.332517
94.000000	0.517983	0.869754	0.323635	82406.088235	7.602941	3154.394351	8.105903	0.161139	0.742121	0.326041	0.121857
94.000000	0.000000	0.296013	0.416554	1435.111111	11.222222	1130.287402	9.614803	0.000000	0.888660	0.441823	0.147780
94.000000	2.677120	1.705135	0.449090	74039.250000	1466.750000	6562.317399	1446.024081	2.012842	2.975057	0.480097	0.252893
96.000000	1.728680	3.324358	1.055290	50568.810345	489.086207	12072.212551	1005.853330	-1.000000	1.548818	1.064507	0.424104
97.000000	0.000000	2.931878	0.545581	14555.287129	79.128713	10607.403142	305.806791	0.000000	1.310742	0.548302	0.251381
97.000000	1.231209	1.504538	0.790465	82137.815789	300.157895	5489.043381	1068.013830	0.300950	1.608237	0.801075	0.289802
98.000000	3.402110	3.896409	0.597196	66807.000000	77.611111	14433.740178	191.038382	2.050170	1.291580	0.614510	0.318913
100.000000	0.934319	5.029930	0.651036	57724.825000	23.012500	18164.602432	94.168656	0.663151	0.621777	0.653080	0.374660
101.000000	1.725103	6.029591	1.026504	30435.964286	1163.678571	22104.845014	1488.747001	0.190372	2.361931	1.045341	0.518164
101.000000	0.743548	2.667616	0.468885	74710.142857	12.571429	10372.878071	13.986388	0.303548	0.873508	0.506454	0.254867
102.000000	2.174894	5.908442	0.720418	41442.068966	337.503448	21344.120600	546.097673	0.343960	2.074901	0.722915	0.453285
103.000000	0.000000	2.773487	0.746145	14981.913043	342.173913	10208.953557	771.687151	0.000000	1.764742	0.762914	0.304076
103.000000	2.167779	2.549467	0.788852	72824.500000	2365.400000	9674.548112	2452.250359	1.529119	2.964577	0.831523	0.355387
103.000000	3.955920	2.221435	0.408110	50025.666667	2368.000000	8482.276095	1766.427114	17.505805	3.221359	0.432866	0.308880
104.000000	6.423052	3.783686	0.833025	63364.644172	2103.141104	13663.246253	4964.956130	7.770775	2.588454	0.835592	0.508935
104.000000	0.000000	1.067439	0.572872	5942.680000	231.520000	3922.020320	416.938657	0.000000	1.959581	0.584685	0.210045
106.000000	1.274613	1.338352	0.378323	53824.500000	97.000000	5277.928334	113.179503	1.437705	1.798777	0.414432	0.191542
107.000000	0.000000	2.063433	0.143580	14935.666667	99.250000	7758.668528	42.450238	0.000000	1.969855	0.149964	0.135092
109.000000	3.506994	7.646899	0.845321	47624.236842	932.157895	27898.366922	1578.495033	3.578902	2.319477	0.856668	0.585978
110.000000	2.306589	7.111633	0.436509	43352.121212	11.151515	25998.829025	12.937642	2.447630	0.841883	0.443277	0.464216
110.000000	2.640514	3.608831	0.352988	47614.947368	1592.473684	13347.796245	1201.652814	3.155567	3.075640	0.362661	0.293992
111.000000	0.302526	2.192856	0.518670	16103.000000	52.250000	8439.341105	80.430538	0.114345	1.374100	0.554481	0.235187
113.000000	0.000000	2.346418	0.375231	17742.214286	119.357143	8765.974422	181.039140	0.000000	1.845117	0.389395	0.191369
115.000000	0.000000	1.202715	0.662660	9318.921053	14.131579	4387.895977	36.200770	0.000000	0.368036	0.671555	0.205518
115.000000	0.000000	3.234744	0.060154	73418.041667	1.041667	11895.537992	0.204124	0.000000	0.012543	0.061447	0.177023
115.000000	2.043524	4.312028	0.260227	57648.428571	482.214286	16109.292257	259.714393	0.464364	2.616525	0.270050	0.302660
116.000000	0.631487	2.692723	0.400606	15953.714286	28.428571	10059.733147	34.908042	0.175140	1.231247	0.415728	0.224525
117.000000	0.000000	3.722192	0.414580	21567.200000	113.200000	13870.206483	112.086191	0.000000	1.883630	0.429131	0.269231
120.000000	1.244970	2.808155	0.511661	74205.000000	1441.111111	10722.592492	1594.620523	0.744431	2.894174	0.542698	0.267121
121.000000	1.874257	6.915018	0.693018	33533.692308	145.752137	25001.135665	438.975765	0.739759	1.486725	0.695999	0.481989
121.000000	0.000000	2.464667	0.173386	66937.400000	10082.000000	9920.092303	3855.487583	5.547466	3.972746	0.193852	0.175754
122.000000	0.000000	1.485783	0.529023	22191.290323	37.419355	5437.234341	62.364399	0.000000	1.215301	0.537768	0.195744
122.000000	2.003843	1.919737	0.311878	69106.304348	104.043478	7066.377067	84.194838	3.026750	1.899306	0.318887	0.197350
122.000000	0.417399	1.743858	0.368057	43907.142857	70.285714	6780.896387	81.808138	10.998797	1.667932	0.397547	0.181389
123.000000	0.454047	3.469458	0.736425	56514.640625	195.218750	12588.784369	668.020541	14.774875	1.381165	0.742247	0.322559
123.000000	1.998040	0.746869	0.869343	81149.272727	254.363636	2819.963407	403.063834	0.949297	1.699201	0.911774	0.326790
124.000000	0.841394	2.489138	1.380592	46200.833333	9727.350000	9036.517021	22706.544203	-1.000000	2.179875	1.392243	0.487037
125.000000	1.049526	6.979709	0.282069	43199.982456	1277.596491	25350.305951	2016.454552	0.979549	2.968289	0.284576	0.410820
126.000000	2.084991	6.293698	0.764703	44727.280000	82.811429	22722.326271	225.476440	1.880960	1.182531	0.766897	0.477140
127.000000	4.308127	4.187280	0.654530	60812.518519	2356.074074	15361.362062	2491.810570	15.428522	3.008706	0.666999	0.424225
128.000000	1.426881	1.162381	0.694290	70232.222222	423.444444	4438.409647	745.362850	6.370536	2.143250	0.736406	0.279394
129.000000	0.410276	5.213561	1.184573	51424.243902	2099.617886	18845.585766	7686.446917	0.064872	1.441412	1.189418	0.509181
130.000000	2.549403	2.445536	0.249311	45728.400000	604.000000	9843.091628	397.307815	2.930612	2.709254	0.278738	0.260826
131.000000	1.984193	2.968684	0.707621	53253.285714	232.607143	10883.375347	404.654616	-1.000000	1.835666	0.720606	0.334443
134.000000	5.632074	6.983508	0.692643	43086.050314	82.122642	25180.250944	143.667402	3.451265	1.406180	0.693735	0.568667
135.000000	0.000000	2.236734	0.338536	40998.000000	235.600000	9002.681267	239.314229	-1.000000	2.226743	0.378495	0.215233
137.000000	1.374514	8.044378	0.512986	46600.250000	174.785714	29491.177719	222.508986	0.715266	1.943296	0.522400	0.512901
138.000000	1.094546	2.859721	0.506145	62078.000000	2603.777778	10919.491586	3277.362727	0.493914	3.118883	0.536848	0.281771
139.000000	1.380115	6.122340	0.481673	48210.446429	515.732143	22139.482231	856.789808	0.417085	2.440415	0.483838	0.399134
141.000000	0.228227	1.381605	0.399018	60352.000000	208.714286	5372.296095	184.397862	12.533661	2.157340	0.430989	0.179026
142.000000	3.489382	3.407214	0.748986	50454.538462	462.923077	12766.828167	824.278620	-1.000000	2.074381	0.779569	0.401425
143.000000	0.333434	0.269622	0.349664	3101.000000	6.000000	1085.208736	3.240370	0.166717	0.680280	0.390936	0.126228
144.000000	0.000000	1.549787	0.695141	57095.666667	243.111111	5917.671523	437.105378	0.000000	1.870528	0.737308	0.276211
145.000000	0.000000	0.055745	0.344645	26978.333333	7.666667	219.836909	6.653320	3.357923	0.746764	0.377540	0.130343
145.000000	0.000000	0.202730	0.402454	33163.833333	26.333333	799.487690	24.881050	6.141235	1.238695	0.440866	0.148764
145.000000	0.426127	3.709079	0.289699	54260.166667	55.000000	14627.131016	39.496835	11.316794	1.646823	0.317350	0.268252
146.000000	0.141717	3.393618	0.920291	56454.235294	424.156863	12338.591517	1011.699113	17.911237	1.812217	0.929448	0.386745
148.000000	0.000000	0.466776	0.752891	83989.461538	1197.153846	1749.009559	838.018680	0.000000	2.762760	0.783634	0.232029
150.000000	1.817721	7.075509	0.767248	51390.146667	211.693333	25643.361195	836.255295	0.905282	1.381046	0.772415	0.511530
152.000000	0.391488	3.900783	0.409876	25031.285714	584.714286	15167.976252	368.126660	0.159823	2.633287	0.442716	0.300733
153.000000	4.029557	5.545905	1.303794	54436.750000	3101.285714	20145.944446	6797.777666	9.475365	2.290377	1.315593	0.595946
